Entry,Underlying,POS,Definition,SC,Etymology,Related,Examples,Usage,Notes,Sources
wshihweew,,na,duck,Animals,,,,,,https://web.archive.org/web/20120807180610/http://www.lenape.ca/week5.html
sakimeew,,na,mosquito,Animals,,,,,,https://web.archive.org/web/20120807180610/http://www.lenape.ca/week5.html
pooshiish,,na,cat,Animals,from Proto-Algonquian pešiwa,,,,O'Meara claims that Goddard claims that it is a borrowing from Dutch (DSM 390),https://web.archive.org/web/20120807180716/http://www.lenape.ca/week4.html
koowuy,,na,cow,Animals,from English cow?,,,,,https://web.archive.org/web/20120807180716/http://www.lenape.ca/week4.html
shkahkwus,,na,skunk,Animals,from Proto-Algonquian šeka·kwa,,,,,https://web.archive.org/web/20120807180749/http://www.lenape.ca/week8.html
poxkapiishush,,na,chipmunk,Animals,root diminutive -ush,,,,,https://web.archive.org/web/20120807180749/http://www.lenape.ca/week8.html
kweekwanaxaash,,na,donkey,Animals,,,,,,https://web.archive.org/web/20120807180749/http://www.lenape.ca/week8.html
chkwal,,na,frog,Animals,,,,,,https://web.archive.org/web/20120807180749/http://www.lenape.ca/week8.html
weechiis,,na,worm,Animals,,,,,,https://web.archive.org/web/20120807180749/http://www.lenape.ca/week8.html
axkookus,,na,"insect, bug",Animals,axkook+-us,,,,,
changxumwush,,na,puppy,Animals,"chang- = small (why no '-' here like in kitten?), -ush?",,,,,
chang-pooshiish,,na,kitten,Animals,chang-+pooshiish,,,,subsidiary of main entry of cat?,
eeliikwus,,na,ant,Animals,from Proto-Algonquian e·rikwa,,,,possible from -iikw- = small gnawing animal,
aapiikwus,,na,mouse,Animals,from Proto-Algonquian (w)a·pikwehs,,,,from -iikw- = small gnawing animal,
apiikw,,na,flea,Animals,from -iikw,,,,,
xwataapiikwus,,na,rat,Animals,from -iikw,,,,,
miimiiw,,na,pigeon,Animals,"imitative, reduplicative?",,,,,
ohkw,,na,maggot,Animals,from Proto-Algonquian o·xhwe·wa,,,,,
pohpookwush,,na,quail,Animals,from Proto-Algonquian po·hpo·hkwa +-ush,,,,,
kooshkoosh,,na,pig,Animals,root diminutive -ush?,,,,derived variants unusual,
shiiwaapeekulush,,na,bluebird,Animals,shiiwaapeekul+-ush,,,,,
wiixuwaxkookus,,na,caterpillar,Animals,wiixeekan = body hair + axkookus = insect?,,,,,
aweeyayus,,na,animal,Animals,,,,,,
pokwus,,na,bedbug,Animals,,,,,,
waamwiis,,na,bullfrog,Animals,,,,,,
moowihleesh,,na,dove,Animals,,,,,,
oocheew[ees],,na,fly,Animals,,,,,,
waakchehlashiish,,na,grasshopper,Animals,,,,,,
moonahkeew,,na,groundhog,Animals,,,,,,
meexalapootiis,,na,spider,Animals,,,,,,
xwaskwus,,na,muskrat,Animals,,,,,,
xwihk,,na,liver,Body,from Proto-Algonquian -θkweni,,,,,
wahpan,,na,lung,Body,from Proto-Algonquian -hpani,,,,,
wcheht,,na,muscle,Body,,,,,,
xayii-wand,,na,leather glove,Clothing,xayii- = leather,,,,,
sakeehiikan,,na,ladder,Manmade,nfin -hiikan?,,,,,
wchiimhiikan,,na,lock,Manmade,nfin -hiikan?,,,,,
manutoow,,na,spirit,Manmade,from Proto-Algonquian maneto·wa,,,,,
mukoos,,na,nail,Manmade,from Proto-Algonquian mekwehsi,,,,,
mataht,,na,bow,Manmade,related to matahkeew = fight?,,,,,
tawiikwaakan,,na,key,Manmade,root -waakan,,,,,
liindawaakan;niindawaakan,,na,lantern,Manmade,root -waakan,,,,,
koonjchaashak,,na,checkers,Manmade,usually plural,,,,,
neenaxkw,,na,ball,Manmade,naxk,,,,,
mbalun,,na,barrel,Manmade,from English barrel?,,,,,
maanzhaapuy,,na,bead,Manmade,,,,,,
tihkambiisoon,,na,belt,Manmade,,,,,,
pambiil,,na,book;paper;letter,Manmade,,,,,,
eeheeshaapamukw[ahk],,na,bottle;jar,Manmade,,,,,,
